	superclass
K02346	DNA replication/repair/maintenance
K02348	Other
K02355	Translation/ribosome
K02356	Translation/ribosome
K02357	Translation/ribosome
K02358	Translation/ribosome
K02361	Other
K02362	Carbohydrate metabolism
K02363	Lipid metabolism
K02364	Transport
K02371	Lipid metabolism
K02372	Lipid metabolism
K02377	Carbohydrate metabolism
K02379	Other
K02380	Other
K02381	Other
K02386	Motility/adhesion
K02387	Signal transduction
K02388	Signal transduction
K02389	Signal transduction
K02390	Motility/adhesion
K02391	Signal transduction
K02392	Signal transduction
K02393	Motility/adhesion
K02394	Motility/adhesion
K02395	Cell envelope/biogenesis
K02396	Defense systems
K02397	Defense systems
K02398	Transcriptional regulation
K02399	Motility/adhesion
K02400	Motility/adhesion
K02401	Motility/adhesion
K02402	Transcriptional regulation
K02403	Transcriptional regulation
K02405	RNA processing/degradation
K02406	Other
K02408	Motility/adhesion
K02409	Motility/adhesion
K02410	Motility/adhesion
K02412	Other
K02415	Motility/adhesion
K02416	Motility/adhesion
K02417	Motility/adhesion
K02419	Motility/adhesion
K02420	Motility/adhesion
K02421	Motility/adhesion
K02424	Transport
K02425	Transcriptional regulation
K02426	Amino acid metabolism
K02427	RNA processing/degradation
K02429	Transport
K02433	Translation/ribosome
K02434	Translation/ribosome
K02435	Translation/ribosome
K02436	Transcriptional regulation
K02437	Amino acid metabolism
K02438	Carbohydrate metabolism
K02439	RNA processing/degradation
K02440	Transport
K02441	Protein folding/quality control
K02442	Transport
K02444	Transcriptional regulation
K02445	Transport
K02446	Carbohydrate metabolism
K02450	Transport
K02451	Transport
K02452	Transport
K02453	Transport
K02454	Transport
K02455	Transport
K02456	Transport
K02457	Transport
K02458	Transport
K02459	Transport
K02460	Transport
K02461	Transport
K02462	Transport
K02464	Transport
K02469	DNA replication/repair/maintenance
K02470	DNA replication/repair/maintenance
K02471	Transport
K02472	Carbohydrate metabolism
K02475	Signal transduction
K02476	Signal transduction
K02477	Signal transduction
K02478	Signal transduction
K02479	Signal transduction
K02482	Signal transduction
K02483	Signal transduction
K02484	Signal transduction
K02485	Signal transduction
K02488	Signal transduction
K02492	RNA processing/degradation
K02493	Translation/ribosome
K02494	Transport
K02495	Energy/central carbon
K02496	Carbohydrate metabolism
K02498	Other
K02500	Energy/central carbon
K02501	Energy/central carbon
K02502	Energy/central carbon
K02503	Amino acid metabolism
K02504	Transport
K02505	Transport
K02506	Carbohydrate metabolism
K02507	Transport
K02508	Transcriptional regulation
K02509	Energy/central carbon
K02510	Energy/central carbon
K02511	Transport
K02517	Lipid metabolism
K02518	Translation/ribosome
K02519	Translation/ribosome
K02520	Translation/ribosome
K02521	Transcriptional regulation
K02523	Carbohydrate metabolism
K02525	Transcriptional regulation
K02526	Transport
K02527	Energy/central carbon
K02528	RNA processing/degradation
K02529	Transcriptional regulation
K02530	Transcriptional regulation
K02531	Transcriptional regulation
K02532	Transport
K02533	Translation/ribosome
K02535	Carbohydrate metabolism
K02536	Carbohydrate metabolism
K02538	Carbohydrate metabolism
K02548	Carbohydrate metabolism
K02549	Energy/central carbon
K02551	Energy/central carbon
K02552	Cofactors/vitamins
K02553	Translation/ribosome
K02556	Motility/adhesion
K02557	Motility/adhesion
K02558	Cell envelope/biogenesis
K02560	Lipid metabolism
K02562	RNA processing/degradation
K02563	Cell envelope/biogenesis
K02564	Carbohydrate metabolism
K02565	Transcriptional regulation
K02566	Nucleotide metabolism
K02575	Transport
K02600	RNA processing/degradation
K02601	RNA processing/degradation
K02609	Carbohydrate metabolism
K02616	Drug metabolism/xenobiotics
K02617	Drug metabolism/xenobiotics
K02618	Energy/central carbon
K02619	Transport
K02621	Mobilome
K02622	Mobilome
K02625	Antibiotic resistance/efflux
K02647	Carbohydrate metabolism
K02650	Motility/adhesion
K02652	Motility/adhesion
K02653	Motility/adhesion
K02654	Carbohydrate metabolism
K02659	Motility/adhesion
K02666	Motility/adhesion
K02667	Signal transduction
K02669	Motility/adhesion
K02671	Motility/adhesion
K02679	Carbohydrate metabolism
K02680	Carbohydrate metabolism
K02681	Carbohydrate metabolism
K02682	Carbohydrate metabolism
K02686	DNA replication/repair/maintenance
K02687	Translation/ribosome
K02742	DNA replication/repair/maintenance
K02744	Carbohydrate metabolism
K02745	Carbohydrate metabolism
K02746	Other
K02747	Carbohydrate metabolism
K02750	Carbohydrate metabolism
K02753	Carbohydrate metabolism
K02755	Carbohydrate metabolism
K02757	Carbohydrate metabolism
K02759	Carbohydrate metabolism
K02760	Carbohydrate metabolism
K02761	Carbohydrate metabolism
K02765	Carbohydrate metabolism
K02768	Carbohydrate metabolism
K02769	Carbohydrate metabolism
K02770	Carbohydrate metabolism
K02771	Carbohydrate metabolism
K02773	Carbohydrate metabolism
K02774	Carbohydrate metabolism
K02775	Other
K02777	Carbohydrate metabolism
K02778	Carbohydrate metabolism
K02779	Carbohydrate metabolism
K02781	Carbohydrate metabolism
K02782	Carbohydrate metabolism
K02783	Transport
K02784	Carbohydrate metabolism
K02786	Carbohydrate metabolism
K02788	Carbohydrate metabolism
K02791	Carbohydrate metabolism
K02793	Carbohydrate metabolism
K02794	Carbohydrate metabolism
K02795	Carbohydrate metabolism
K02796	Carbohydrate metabolism
K02798	Carbohydrate metabolism
K02800	Carbohydrate metabolism
K02803	Carbohydrate metabolism
K02804	Carbohydrate metabolism
K02805	Carbohydrate metabolism
K02806	Carbohydrate metabolism
K02810	Carbohydrate metabolism
K02814	Carbohydrate metabolism
K02815	Transport
K02819	Carbohydrate metabolism
K02821	Carbohydrate metabolism
K02822	Carbohydrate metabolism
K02823	Energy/central carbon
K02824	Transport
K02825	Nucleotide metabolism
K02834	Translation/ribosome
K02835	Translation/ribosome
K02836	Translation/ribosome
K02837	Translation/ribosome
K02838	Translation/ribosome
K02840	Carbohydrate metabolism
K02841	Cell envelope/biogenesis
K02843	Cell envelope/biogenesis
K02844	Carbohydrate metabolism
K02846	Tryptophan metabolism
K02847	Cell envelope/biogenesis
K02849	Cell envelope/biogenesis
K02851	Carbohydrate metabolism
K02852	Carbohydrate metabolism
K02853	DNA replication/repair/maintenance
K02854	Transcriptional regulation
K02855	Transcriptional regulation
K02856	Transport
K02858	Energy/central carbon
K02859	Cofactors/vitamins
K02860	RNA processing/degradation
K02863	Translation/ribosome
K02864	Translation/ribosome
K02867	Translation/ribosome
K02871	Translation/ribosome
K02874	Translation/ribosome
K02876	Translation/ribosome
K02878	Translation/ribosome
K02879	Translation/ribosome
K02881	Translation/ribosome
K02884	Translation/ribosome
K02886	Translation/ribosome
K02887	Translation/ribosome
K02888	Translation/ribosome
K02890	Translation/ribosome
K02892	Translation/ribosome
K02895	Translation/ribosome
K02897	Translation/ribosome
K02899	Translation/ribosome
K02902	Translation/ribosome
K02904	Translation/ribosome
K02906	Translation/ribosome
K02907	Translation/ribosome
K02909	Translation/ribosome
K02911	Translation/ribosome
K02913	Translation/ribosome
K02914	Translation/ribosome
K02916	Translation/ribosome
K02919	Translation/ribosome
K02926	Translation/ribosome
K02931	Translation/ribosome
K02933	Translation/ribosome
K02935	Translation/ribosome
K02939	Translation/ribosome
K02945	Translation/ribosome
K02946	Translation/ribosome
K02948	Translation/ribosome
K02950	Translation/ribosome
K02952	Translation/ribosome
K02954	Translation/ribosome
K02956	Translation/ribosome
K02959	Translation/ribosome
K02961	Translation/ribosome
K02963	Translation/ribosome
K02965	Translation/ribosome
K02967	Translation/ribosome
K02968	Translation/ribosome
K02970	Translation/ribosome
K02972	Translation/ribosome
K02982	Translation/ribosome
K02986	Translation/ribosome
K02988	Translation/ribosome
K02990	Translation/ribosome
K02992	Translation/ribosome
K02994	Translation/ribosome
K02996	Translation/ribosome
K03040	DNA replication/repair/maintenance
K03043	DNA replication/repair/maintenance
K03046	DNA replication/repair/maintenance
K03048	DNA replication/repair/maintenance
K03060	DNA replication/repair/maintenance
K03070	Transport
K03071	Transport
K03072	Transport
K03073	Transport
K03074	Transport
K03075	Transport
K03076	Transport
K03077	Energy/central carbon
K03078	Energy/central carbon
K03079	Energy/central carbon
K03086	Transcriptional regulation
K03087	Transcriptional regulation
K03088	RNA processing/degradation
K03089	RNA processing/degradation
K03091	RNA processing/degradation
K03092	RNA processing/degradation
K03093	RNA processing/degradation
K03095	DNA replication/repair/maintenance
K03098	Other
K03100	Signal transduction
K03101	Carbohydrate metabolism
K03106	Signal transduction
K03110	Cell envelope/biogenesis
K03111	DNA replication/repair/maintenance
K03112	Other
K03113	Translation/ribosome
K03116	Transport
K03117	Transport
K03118	Transport
K03119	Transport
K03147	Carbohydrate metabolism
K03148	Carbohydrate metabolism
K03149	Other
K03150	Other
K03151	RNA processing/degradation
K03152	Other
K03153	Transport
K03154	Other
K03168	DNA replication/repair/maintenance
K03169	DNA replication/repair/maintenance
K03177	RNA processing/degradation
K03179	Carbohydrate metabolism
K03181	Tryptophan metabolism
K03182	Energy/central carbon
K03183	Carbohydrate metabolism
K03184	Other
K03185	Other
K03186	Cofactors/vitamins
K03187	Transport
K03188	Transport
K03189	Transport
K03190	Transport
K03192	Transport
K03194	Transport
K03195	Transport
K03201	Transport
K03204	Transport
K03205	Transport
K03206	Energy/central carbon
K03207	Carbohydrate metabolism
K03208	Carbohydrate metabolism
K03210	Transport
K03212	RNA processing/degradation
K03214	RNA processing/degradation
K03215	RNA processing/degradation
K03216	RNA processing/degradation
K03217	Signal transduction
K03218	RNA processing/degradation
K03269	Cell envelope/biogenesis
K03270	Carbohydrate metabolism
K03271	Energy/central carbon
K03272	Carbohydrate metabolism
K03273	Carbohydrate metabolism
K03274	Energy/central carbon
K03281	Transport
K03282	Transport
K03284	Transport
K03286	Transport
K03288	Antibiotic resistance/efflux
K03289	Transport
K03291	Antibiotic resistance/efflux
K03292	Transport
K03293	Transport
K03294	Transport
K03296	Transport
K03297	Antibiotic resistance/efflux
K03298	Antibiotic resistance/efflux
K03299	Transport
K03300	Transport
K03303	SCFA fermentation
K03305	Transport
K03306	Transport
K03307	Transport
K03309	Transport
K03310	Transport
K03311	Transport
K03312	Transport
K03313	Transport
K03314	Transport
K03315	Transport
K03316	Transport
K03317	Transport
K03319	Transport
K03320	Transport
K03321	Transport
K03322	Transport
K03324	Transport
K03326	Transport
K03327	Antibiotic resistance/efflux
K03328	Transport
K03332	Carbohydrate metabolism
K03335	Energy/central carbon
K03336	Other
K03337	Energy/central carbon
K03338	Carbohydrate metabolism
K03339	Energy/central carbon
K03342	Carbohydrate metabolism
K03346	DNA replication/repair/maintenance
K03366	Energy/central carbon
K03367	Amino acid metabolism
K03386	Energy/central carbon
K03387	Energy/central carbon
K03391	Cofactors/vitamins
K03392	Energy/central carbon
K03394	Carbohydrate metabolism
K03399	Carbohydrate metabolism
K03402	Transcriptional regulation
K03406	Carbohydrate metabolism
K03407	Signal transduction
K03408	Nucleotide metabolism
K03409	Motility/adhesion
K03411	Motility/adhesion
K03412	Amino acid metabolism
K03413	Motility/adhesion
K03415	Motility/adhesion
K03417	Other
K03424	DNA replication/repair/maintenance
K03425	Transport
K03426	Cofactors/vitamins
K03427	Defense systems
K03430	Carbohydrate metabolism
K03431	Energy/central carbon
K03435	Transcriptional regulation
K03436	Transcriptional regulation
K03437	RNA processing/degradation
K03438	RNA processing/degradation
K03439	RNA processing/degradation
K03442	Transport
K03445	Antibiotic resistance/efflux
K03446	Antibiotic resistance/efflux
K03449	Transport
K03451	Transport
K03453	Transport
K03455	Transport
K03457	Transport
K03458	Transport
K03462	Tryptophan metabolism
K03465	Cofactors/vitamins
K03466	DNA replication/repair/maintenance
K03468	Antibiotic resistance/efflux
K03469	Translation/ribosome
K03470	Translation/ribosome
K03471	Translation/ribosome
K03472	Other
K03473	Other
K03474	Energy/central carbon
K03475	Transport
K03476	Carbohydrate metabolism
K03477	Transcriptional regulation
K03478	Carbohydrate metabolism
K03481	Transcriptional regulation
K03482	Transcriptional regulation
K03483	RNA processing/degradation
K03484	Transcriptional regulation
K03485	Transcriptional regulation
K03486	Transcriptional regulation
K03487	Transcriptional regulation
K03488	RNA processing/degradation
K03489	Transcriptional regulation
K03490	Transcriptional regulation
K03491	Transcriptional regulation
K03492	Transcriptional regulation
K03493	Transcriptional regulation
K03495	RNA processing/degradation
K03496	Mobilome
K03497	Transcriptional regulation
K03498	Transport
K03499	Transport
K03500	RNA processing/degradation
K03501	RNA processing/degradation
K03502	DNA replication/repair/maintenance
K03503	DNA replication/repair/maintenance
K03516	Motility/adhesion
K03517	Tryptophan metabolism
K03519	Energy/central carbon
K03521	Energy/central carbon
K03522	Energy/central carbon
K03523	Cofactors/vitamins
K03524	Transcriptional regulation
K03525	Carbohydrate metabolism
K03526	Energy/central carbon
K03527	Energy/central carbon
K03528	Cell envelope/biogenesis
K03529	Cell envelope/biogenesis
K03530	DNA replication/repair/maintenance
K03531	Cell envelope/biogenesis
K03534	Energy/central carbon
K03535	Transport
K03536	Translation/ribosome
K03543	Antibiotic resistance/efflux
K03544	Protein folding/quality control
K03545	Other
K03546	DNA replication/repair/maintenance
K03547	DNA replication/repair/maintenance
K03548	Transport
K03549	Transport
K03550	DNA replication/repair/maintenance
K03551	DNA replication/repair/maintenance
K03553	DNA replication/repair/maintenance
K03554	Defense systems
K03555	DNA replication/repair/maintenance
K03556	Transcriptional regulation
K03557	Transcriptional regulation
K03558	Cell envelope/biogenesis
K03559	Transport
K03560	Transport
K03561	Transport
K03562	Transport
K03564	Energy/central carbon
K03565	RNA processing/degradation
K03566	Transcriptional regulation
K03567	Transcriptional regulation
K03568	Other
K03569	Signal transduction
K03570	Signal transduction
K03571	Signal transduction
K03572	DNA replication/repair/maintenance
K03573	DNA replication/repair/maintenance
K03574	Carbohydrate metabolism
K03575	Carbohydrate metabolism
K03576	Transcriptional regulation
K03577	Antibiotic resistance/efflux
K03578	DNA replication/repair/maintenance
K03579	DNA replication/repair/maintenance
K03580	DNA replication/repair/maintenance
K03581	DNA replication/repair/maintenance
K03582	DNA replication/repair/maintenance
K03583	DNA replication/repair/maintenance
K03584	DNA replication/repair/maintenance
K03585	Antibiotic resistance/efflux
K03587	Cell envelope/biogenesis
K03588	Carbohydrate metabolism
K03589	Cell envelope/biogenesis
K03590	Cell envelope/biogenesis
K03591	Cell envelope/biogenesis
K03592	Other
K03593	Mobilome
K03594	Other
K03595	Energy/central carbon
K03596	Other
K03597	Transcriptional regulation
K03598	Transcriptional regulation
K03599	Energy/central carbon
K03601	DNA replication/repair/maintenance
K03602	DNA replication/repair/maintenance
K03603	Transcriptional regulation
K03604	Transcriptional regulation
K03606	Carbohydrate metabolism
K03607	Other
K03608	Cell envelope/biogenesis
K03609	Cell envelope/biogenesis
K03610	Cell envelope/biogenesis
K03611	Energy/central carbon
K03612	Cofactors/vitamins
K03613	Cofactors/vitamins
K03614	Cofactors/vitamins
K03615	Cofactors/vitamins
K03616	Cofactors/vitamins
K03617	Cofactors/vitamins
K03619	Transcriptional regulation
K03621	Lipid metabolism
K03623	Translation/ribosome
K03624	Transcriptional regulation
K03625	RNA processing/degradation
K03628	Transcriptional regulation
K03629	DNA replication/repair/maintenance
K03630	DNA replication/repair/maintenance
K03631	DNA replication/repair/maintenance
K03632	Mobilome
K03633	Mobilome
K03634	Transport
K03635	Cofactors/vitamins
K03636	Other
K03637	Energy/central carbon
K03638	Cofactors/vitamins
K03639	Energy/central carbon
K03640	Transport
K03641	Other
K03642	Cell envelope/biogenesis
K03643	Other
K03644	Carbohydrate metabolism
K03645	DNA replication/repair/maintenance
K03646	Cell envelope/biogenesis
K03647	Other
K03648	DNA replication/repair/maintenance
K03649	DNA replication/repair/maintenance
K03650	Translation/ribosome
K03651	Carbohydrate metabolism
K03652	DNA replication/repair/maintenance
K03654	DNA replication/repair/maintenance
K03655	DNA replication/repair/maintenance
K03656	DNA replication/repair/maintenance
K03657	DNA replication/repair/maintenance
K03658	DNA replication/repair/maintenance
K03664	Translation/ribosome
K03665	Energy/central carbon
K03666	DNA replication/repair/maintenance
K03667	Protein folding/quality control
K03668	Transcriptional regulation
K03669	Cell envelope/biogenesis
K03670	Other
K03671	Signal transduction
K03672	Energy/central carbon
K03674	Energy/central carbon
K03675	Energy/central carbon
K03676	Energy/central carbon
K03684	Translation/ribosome
K03685	Translation/ribosome
K03686	DNA replication/repair/maintenance
K03687	Protein folding/quality control
K03688	Cofactors/vitamins
K03690	Cofactors/vitamins
K03693	Cell envelope/biogenesis
K03694	Protein folding/quality control
K03695	Protein folding/quality control
K03696	Protein folding/quality control
K03697	Protein folding/quality control
K03698	Carbohydrate metabolism
K03699	Transport
K03700	DNA replication/repair/maintenance
K03701	DNA replication/repair/maintenance
K03702	DNA replication/repair/maintenance
K03703	DNA replication/repair/maintenance
K03704	Viral processes
K03705	RNA processing/degradation
K03706	Transcriptional regulation
K03707	Carbohydrate metabolism
K03708	Transcriptional regulation
K03709	Transcriptional regulation
K03710	Transcriptional regulation
K03711	Transcriptional regulation
K03712	Transcriptional regulation
K03713	Transcriptional regulation
K03717	Transcriptional regulation
K03718	Transcriptional regulation
K03719	Transcriptional regulation
K03720	Tryptophan metabolism
K03721	Tryptophan metabolism
K03722	DNA replication/repair/maintenance
K03723	Transcriptional regulation
K03724	DNA replication/repair/maintenance
K03731	Carbohydrate metabolism
K03732	DNA replication/repair/maintenance
K03733	Mobilome
K03734	Cofactors/vitamins
K03735	Energy/central carbon
K03736	Energy/central carbon
K03737	Energy/central carbon
K03739	Transport
K03740	Amino acid metabolism
K03741	Energy/central carbon
K03742	Tryptophan metabolism
K03743	Tryptophan metabolism
K03744	Other
K03745	Other
K03746	DNA replication/repair/maintenance
K03747	Other
K03748	Other
K03749	Other
K03750	Cofactors/vitamins
K03752	Mobilome
K03753	Mobilome
K03756	Amino acid metabolism
K03757	Transport
K03758	Transport
K03759	Transport
K03760	Lipid metabolism
K03761	Antibiotic resistance/efflux
K03762	Transport
K03763	DNA replication/repair/maintenance
K03764	Transcriptional regulation
K03767	Energy/central carbon
K03768	Energy/central carbon
K03769	Energy/central carbon
K03770	Energy/central carbon
K03771	Energy/central carbon
K03772	Energy/central carbon
K03773	Energy/central carbon
K03774	Energy/central carbon
K03775	Energy/central carbon
K03776	Signal transduction
K03777	SCFA fermentation
K03778	SCFA fermentation
K03779	Energy/central carbon
K03780	Energy/central carbon
K03781	Energy/central carbon
K03782	Energy/central carbon
K03783	Nucleotide metabolism
K03784	Nucleotide metabolism
K03785	Energy/central carbon
K03786	Energy/central carbon
K03787	Nucleotide metabolism
K03788	Translation/ribosome
K03789	Translation/ribosome
K03790	Translation/ribosome
K03793	Other
K03796	Other
K03797	Protein folding/quality control
K03798	Protein folding/quality control
K03799	Protein folding/quality control
K03800	Cofactors/vitamins
K03801	Carbohydrate metabolism
K03802	Translation/ribosome
K03803	Transcriptional regulation
K03806	Amino acid metabolism
K03807	Other
K03808	Transport
K03809	Cofactors/vitamins
K03810	Viral processes
K03811	Tryptophan metabolism
K03812	Translation/ribosome
K03814	Cell envelope/biogenesis
K03816	Carbohydrate metabolism
K03817	Amino acid metabolism
K03818	Carbohydrate metabolism
K03819	Carbohydrate metabolism
K03820	Lipid metabolism
K03823	Carbohydrate metabolism
K03824	Carbohydrate metabolism
K03825	Tryptophan metabolism
K03826	Carbohydrate metabolism
K03827	Carbohydrate metabolism
K03828	Carbohydrate metabolism
K03829	Carbohydrate metabolism
K03830	Carbohydrate metabolism
K03831	Cofactors/vitamins
K03832	Other
K03833	Translation/ribosome
K03834	Tryptophan metabolism
K03835	Tryptophan metabolism
K03837	Transport
K03838	Transport
K03839	Energy/central carbon
K03840	Energy/central carbon
K03841	Carbohydrate metabolism
K03856	Carbohydrate metabolism
K03863	Cofactors/vitamins
K03885	Cofactors/vitamins
K03892	Transcriptional regulation
K03893	Transport
K03894	Energy/central carbon
K03895	Other
K03897	Amino acid metabolism
K03919	DNA replication/repair/maintenance
K03923	Cofactors/vitamins
K03924	Transport
K03925	Transcriptional regulation
K03926	Transport
K03928	Carbohydrate metabolism
K03929	Carbohydrate metabolism
K03930	Carbohydrate metabolism
K03933	Carbohydrate metabolism
K03943	Cofactors/vitamins
K03969	Viral processes
K03970	Viral processes
K03971	Viral processes
K03973	Viral processes
K03974	Transcriptional regulation
K03975	Defense systems
K03976	RNA processing/degradation
K03977	Energy/central carbon
K03978	Energy/central carbon
K03979	Carbohydrate metabolism
K03980	Cell envelope/biogenesis
K03981	Carbohydrate metabolism
K04019	Lipid metabolism
K04023	Transport
K04024	Lipid metabolism
K04026	Lipid metabolism
K04027	Lipid metabolism
K04028	Lipid metabolism
K04029	Lipid metabolism
K04030	Lipid metabolism
K04031	Lipid metabolism
K04032	Lipid metabolism
K04041	Carbohydrate metabolism
K04042	Carbohydrate metabolism
K04043	DNA replication/repair/maintenance
K04044	Protein folding/quality control
K04045	Protein folding/quality control
K04046	Protein folding/quality control
K04047	DNA replication/repair/maintenance
K04062	DNA replication/repair/maintenance
K04063	Energy/central carbon
K04064	DNA replication/repair/maintenance
K04065	DNA replication/repair/maintenance
K04066	DNA replication/repair/maintenance
K04067	DNA replication/repair/maintenance
K04068	Energy/central carbon
K04069	SCFA fermentation
K04072	SCFA fermentation
K04074	Cell envelope/biogenesis
K04075	Translation/ribosome
K04076	Protein folding/quality control
K04077	Protein folding/quality control
K04078	Protein folding/quality control
K04079	Protein folding/quality control
K04080	Protein folding/quality control
K04081	Protein folding/quality control
K04082	Protein folding/quality control
K04083	Protein folding/quality control
K04084	Energy/central carbon
K04085	Translation/ribosome
K04086	Protein folding/quality control
K04087	Protein folding/quality control
K04088	Protein folding/quality control
K04091	Cofactors/vitamins
K04092	Tryptophan metabolism
K04094	RNA processing/degradation
K04095	Carbohydrate metabolism
K04096	DNA replication/repair/maintenance
K04103	Energy/central carbon
K04333	Transcriptional regulation
K04334	Antibiotic resistance/efflux
K04335	Other
K04336	Cell envelope/biogenesis
K04337	Transport
K04338	Transport
K04343	Antibiotic resistance/efflux
K04477	Other
K04485	DNA replication/repair/maintenance
K04486	Carbohydrate metabolism
K04487	Amino acid metabolism
K04488	Energy/central carbon
K04516	Tryptophan metabolism
K04517	Tryptophan metabolism
K04518	Tryptophan metabolism
K04561	Amino acid metabolism
K04564	Other
K04565	Other
K04566	Translation/ribosome
K04567	Translation/ribosome
K04568	Translation/ribosome
K04651	Transport
K04652	Transport
K04653	Motility/adhesion
K04654	Motility/adhesion
K04655	Carbohydrate metabolism
K04656	Translation/ribosome
K04691	Amino acid metabolism
K04718	Other
K04719	Other
K04720	Amino acid metabolism
K04744	Carbohydrate metabolism
K04749	Other
K04750	Other
K04751	Transcriptional regulation
K04752	Transcriptional regulation
K04753	Other
K04754	Lipid metabolism
K04755	Transcriptional regulation
K04756	Energy/central carbon
K04758	Transport
K04759	Transport
K04760	Transcriptional regulation
K04761	Transcriptional regulation
K04762	Translation/ribosome
K04763	Mobilome
K04764	DNA replication/repair/maintenance
K04765	Carbohydrate metabolism
K04767	Other
K04770	Protein folding/quality control
K04771	Amino acid metabolism
K04772	Protein folding/quality control
K04773	Protein folding/quality control
K04774	Protein folding/quality control
K04775	Protein folding/quality control
K04940	Other
K05275	Energy/central carbon
K05297	Cofactors/vitamins
K05306	Carbohydrate metabolism
K05311	Carbohydrate metabolism
K05337	Transcriptional regulation
K05338	Energy/central carbon
K05339	Energy/central carbon
K05340	Transport
K05342	Carbohydrate metabolism
K05343	Carbohydrate metabolism
K05346	Transcriptional regulation
K05349	Carbohydrate metabolism
K05350	Carbohydrate metabolism
K05352	Cofactors/vitamins
K05358	Cofactors/vitamins
K05362	Cell envelope/biogenesis
K05363	Amino acid metabolism
K05365	Cell envelope/biogenesis
K05366	Antibiotic resistance/efflux
K05367	Cell envelope/biogenesis
K05368	Cofactors/vitamins
K05372	Transcriptional regulation
K05375	Other
K05396	Amino acid metabolism
K05499	Transcriptional regulation
K05501	Antibiotic resistance/efflux
K05515	Cell envelope/biogenesis
K05517	Transport
K05520	Carbohydrate metabolism
K05521	Energy/central carbon
K05522	Defense systems
K05524	Transcriptional regulation
K05526	Carbohydrate metabolism
K05527	Transcriptional regulation
K05539	Translation/ribosome
K05540	Energy/central carbon
K05548	Transport
K05553	Lipid metabolism
K05568	Transport
K05589	Cell envelope/biogenesis
K05590	DNA replication/repair/maintenance
K05591	DNA replication/repair/maintenance
K05592	Energy/central carbon
K05593	Carbohydrate metabolism
K05594	Other
K05595	Transport
K05601	Other
K05603	Carbohydrate metabolism
K05643	Transport
K05658	Transport
K05685	Antibiotic resistance/efflux
K05710	Energy/central carbon
K05712	Carbohydrate metabolism
K05770	Other
K05774	Transport
K05775	Carbohydrate metabolism
K05776	Transport
K05781	Transport
K05782	Transport
K05783	Energy/central carbon
K05785	Transcriptional regulation
K05786	Carbohydrate metabolism
K05787	DNA replication/repair/maintenance
K05788	DNA replication/repair/maintenance
K05789	Transport
K05790	Cell envelope/biogenesis
K05794	Transport
K05796	Transport
K05798	Transcriptional regulation
K05799	Transcriptional regulation
K05800	Transcriptional regulation
K05801	DNA replication/repair/maintenance
K05802	Transport
K05803	Transport
K05804	Transcriptional regulation
K05805	Other
K05807	Cell envelope/biogenesis
K05808	Translation/ribosome
K05809	Translation/ribosome
K05810	Carbohydrate metabolism
K05811	Transport
K05812	RNA processing/degradation
K05813	Transport
K05814	Transport
K05815	Transport
K05816	Transport
K05817	Transcriptional regulation
K05819	Transport
K05820	Transport
K05822	Antibiotic resistance/efflux
K05823	Carbohydrate metabolism
K05825	Carbohydrate metabolism
K05832	Tryptophan metabolism
K05833	Tryptophan metabolism
K05834	Carbohydrate metabolism
K05835	Antibiotic resistance/efflux
K05836	Transcriptional regulation
K05837	Cell envelope/biogenesis
K05838	Energy/central carbon
K05839	Other
K05844	Translation/ribosome
K05845	Transport
K05846	Transport
K05847	Transport
K05851	Energy/central carbon
K05874	Signal transduction
K05875	Signal transduction
K05876	Carbohydrate metabolism
K05877	Signal transduction
K05878	Carbohydrate metabolism
K05879	Carbohydrate metabolism
K05881	Carbohydrate metabolism
K05882	Energy/central carbon
K05895	Energy/central carbon
K05896	Cell envelope/biogenesis
K05910	Energy/central carbon
K05916	Amino acid metabolism
K05921	Energy/central carbon
K05934	Carbohydrate metabolism
K05936	Carbohydrate metabolism
K05937	Other
K05939	Lipid metabolism
K05946	Carbohydrate metabolism
K05952	Other
K05964	Carbohydrate metabolism
K05966	Carbohydrate metabolism
K05970	Carbohydrate metabolism
K05982	Carbohydrate metabolism
K05984	DNA replication/repair/maintenance
K05985	Translation/ribosome
K05986	Energy/central carbon
K05988	Carbohydrate metabolism
K05989	Carbohydrate metabolism
K05995	Carbohydrate metabolism
K05997	Other
K06006	Other
K06016	Transport
K06019	Carbohydrate metabolism
K06020	Transport
K06023	Carbohydrate metabolism
K06024	Cell envelope/biogenesis
K06039	Other
K06041	Energy/central carbon
K06042	Energy/central carbon
K06044	Carbohydrate metabolism
K06045	Carbohydrate metabolism
K06048	Amino acid metabolism
K06073	Transport
K06074	Transport
K06075	Transcriptional regulation
K06076	Transport
K06077	Transport
K06078	Transport
K06079	Other
K06080	Other
K06131	Carbohydrate metabolism
K06133	Carbohydrate metabolism
K06136	Cofactors/vitamins
K06137	Cofactors/vitamins
K06138	Cofactors/vitamins
K06139	Carbohydrate metabolism
K06140	Nucleotide metabolism
K06141	Transport
K06142	Transport
K06143	Transport
K06144	Transcriptional regulation
K06145	Transcriptional regulation
K06147	Transport
K06148	Transport
K06149	Transcriptional regulation
K06151	Transport
K06152	Transport
K06153	Carbohydrate metabolism
K06155	Transport
K06156	Transport
K06158	Transport
K06159	Antibiotic resistance/efflux
K06160	Transport
K06162	Carbohydrate metabolism
K06163	Transport
K06164	Energy/central carbon
K06165	Energy/central carbon
K06166	Energy/central carbon
K06167	Carbohydrate metabolism
K06168	Translation/ribosome
