	sample_received_month	latitude	longitude	elevation	pH_laboratory	tta_laboratory	cfu_lab	cfu_yeasts	r_samp_source	r_samp_country	covid	r_dough_source	r_dough_stor_device	r_dough_cover	r_yeast_usage_prior	r_flour_type_red_red	r_flour_quality	r_flour_organic	r_flour_change	r_water_type	r_flour_additions	r_backslop_freq	r_refreshment_flour	r_temp_feeding	r_time_feeding	r_stor_feeding	r_dough_size_feeding	r_temp_storage	r_ph_value_citizen	cat	dog	other_with_hair	other_without_hair	r_plants	r_kids	r_flour_comp_not_determ	r_wheat	r_semi_wholemeal_wheat	r_wholemeal_wheat	r_rye	r_wholemeal_rye	r_wholemeal_spelt	r_spelt	r_barley	r_other_wheat_varieties	r_gluten_free_flour	p_number_sourdoughs	p_after_feeding	p_bread_making_frequency	p_skill	p_perceived_health_benefits	p_alcoholic_beverage	p_acid_beverage	p_dairy_products	p_fermented_vegetables_fruits	p_other_fermentations	dough_age	sample_transport_dur	dough_yield	s_grain_cereal_score	s_fermented_score	s_veggie_score	s_animal_score	s_chemical_score	s_body_odour_score	s_fruity_score	s_toasted_score	s_sour_score	s_ocean_score	s_earthy_score	s_fermented_dairy_score	s_nutty_score	hub	cluster
126fb	May	60.21	25.04	18	3.79	16.27			household	Finland	pre	received from a bakery	plastic container	closed lid	no	wheat	endosperm	yes	yes	tap water	no	2	50	23	10	kitchen counter	20	4	4	yes	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	4	2 to 5	yes	no	no	no	no	no	5	0	200	3	0	0	0	0	0	0	0	1	0	0	0	0	UH	3
136b8	June	65.01	25.47	12	3.87	15.03			household	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	1	97	23	16	kitchen counter	75	8	4.1	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	1	2 to 5	yes	no	no	no	no	no	4	0	200	1	2	0	0	0	0	1	0	1	0	0	1	0	UH	5
13aaf	May	62.89	27.68	98					household	Finland	post	started myself	glass jar	closed lid	no	wheat	endosperm	no	yes	tap water	no	2	35	22	6	kitchen counter	10	4	5	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	4	0.5 to 2	no	no	no	no	no	no	1	0	200	1	1	0	0	0	0	0	0	0	0	0	1	0	UH	3
143fb	January	60.98	25.66	100	3.65	14.42	10.017	7.509	household	Finland	covid	received from a home baker	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	4	25	21	12	kitchen counter	100	3	4.4	no	no	no	no	yes	no	no	1	0	1	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	3	0	200	0	1	0	0	0	0	0	0	0	0	0	2	0	UH	3
1bb70	March	62.33	25.7	110	3.66	11.51	9.189	6.554	household	Finland	post	started myself	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	4	100	25	4	warm place	20	4	4.4	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	4	0.5 to 2	yes	no	no	no	no	no	1	0	200	2	0	0	0	0	0	0	0	0	0	0	0	0	UH	3
1d942	February	60.73	24.78	90	3.81	12.36	8.74	6.468	household	Finland	post	started myself	glass jar	closed lid	no	wheat	endosperm	yes	yes	tap water	no	4	150	24	6	other	80	4	4.4	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	<0.5	yes	no	no	no	no	no	0	0	200	1	1	0	0	0	0	1	0	1	0	0	0	0	UH	3
27fc0	April	57.76	15.89	60	3.97	16.77	9.397	7.456	household	Sweden	pre	received from a bakery	plastic container	closed lid	yes	rye	wholemeal	yes	no	spring water	no	4	150	19	24	kitchen counter	400	6	4	no	yes	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	4	>5	yes	no	no	no	no	no	20	0	233.3333333	2	1	1	0	1	0	1	0	1	0	0	1	0	UH	1
2cd6e	April	61.37	16.6	60	4.1	11.56			artisanal bakery	Sweden	pre	started myself	glass jar	other	yes	wheat	wholemeal	yes	yes	tap water	no	12	250	25	3	kitchen counter	400	4	4.4	no	no	no	no	no	no	no	0	0	1	0	0	0	0	0	0	0	1	keep at RT	12	>5	yes	no	no	yes	yes	no	5	0	200	1	1	1	0	0	0	0	0	0	0	0	1	0	UH	3
2e655	May	60.63	24.87	100	3.82	17.07			household	Finland	pre	started myself	glass jar	closed lid	yes	wheat	endosperm	no	yes	tap water	no	1	100	22	4	kitchen counter	100	5	5	yes	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	1	2 to 5	yes	no	no	no	no	no	5	0	200	1	0	0	0	0	0	1	0	1	0	0	0	0	UH	3
2e92d	December	64.22	27.73	120	3.96	14.57	7.512	8.031	household	Finland	pre	received from a home baker	glass jar	closed lid	no	rye	endosperm	no	no	tap water	no	4	70	27	4	warm place	200	5	4.1	no	no	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0	1	fridge	2	2 to 5	yes	no	no	no	no	no	4	0	200	1	1	0	1	1	0	1	0	1	0	0	1	0	UH	1
3143d	March	62.25	24.62	95	4.12	8.53			household	Finland	covid	received from a home baker	other	loose lid	no	rye	endosperm	no	no	tap water	no	1	1000	21	22	kitchen counter	150	21	6	yes	no	no	no	no	yes	no	0	0	0	1	0	0	0	0	0	0	2	keep at RT	1	>5	yes	yes	no	no	no	no	3	0	250	1	0	0	0	0	0	0	0	0	0	0	1	0	UH	5
3e5ed	February	60.21	24.66	22	3.65	17.59	8.961	7.246	household	Finland	pre	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	2	150	22	5	kitchen counter	30	5	4.1	no	yes	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	no	no	6	0	200	1	0	0	0	0	0	2	0	1	0	0	3	0	UH	3
425fc	May	60.3	25.1	50	3.81	11.56	8.771	7.58	household	Finland	covid	received from a bakery	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	4	60	20	12	kitchen counter	110	4	4	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	yes	no	3	0	200	2	1	0	0	1	0	0	0	0	0	0	1	0	UH	3
4c44e	March	56.83	9.91	40	3.88	16.82	9.681	7.703	household	Denmark	pre	started myself	glass jar	loose lid	yes	other	mix	yes	yes	tap water	no	12	80	21	14	kitchen counter	50	21	4.1	no	no	no	no	yes	yes	no	0.33333	0	0	0.33333	0.33333	0	0	0	0	0	1	keep at RT	12	2 to 5	yes	no	no	no	no	no	6	0	200	1	1	0	0	0	0	0	0	0	0	1	1	0	UH	3
4cb08	January	62.52	29.39	85	3.49	15.42	11.132	8.048	artisanal bakery	Finland	pre	received from a bakery	glass jar	closed lid	no	wheat	endosperm	yes	yes	tap water	no	12	40	22	10	kitchen counter	40	4	4.1	yes	yes	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	3	fridge	12	2 to 5	yes	no	yes	no	yes	no	4	0	200	2	0	0	0	1	0	0	0	1	0	0	1	0	UH	2
4d6e7	May	59.29	18.08	35	3.9	26.63	9.712	6.037	household	Sweden	pre	started myself	other	closed lid	no	other	mix	yes	yes	tap water	no		0	20		warm place	100			no	no	no	no	yes	no	no	0.5	0	0	0.5	0	0	0	0	0	0	1	other		>5	yes	no	no	no	no	yes	20	0															UH	5
4fed9	May	56.13	12.56	20	3.92	16.24			household	Sweden	pre	received from a home baker	glass jar	closed lid	yes	rye	wholemeal	yes	yes	tap water	no	4	800	22	8	kitchen counter	200	4	4.5	no	no	no	no	yes	no	no	1	0	0	0	1	0	0	0	0	0	1	fridge	4	>5	yes	no	no	no	yes	no	6	0	225	1	1	0	0	0	0	1	0	2	0	0	1	0	UH	1
51ebb	November	60.19	24.95	7	3.9	12.87	9.146	8.037	household	Finland	post	started myself	glass jar	loose lid	no	other	mix	no	no	tap water	no	12	100	23	11	kitchen counter	240	23	4.2	no	no	no	no	no	no	no	0.8	0.8	0.2	0.2	0	0	0	0	0	0	1	keep at RT	8	0.5 to 2	yes	no	no	no	no	no	1	0	200	3	1	0	0	1	0	1	0	0	0	0	1	0	UH	3
57ec5	March	62.6	29.75	120	3.97	15.35	9.208	6.547	household	Finland	pre	started myself	glass jar	loose lid	no	other	other	no	no	tap water	no	4	80	28	10	warm place	440	5	4	no	yes	no	no	yes	no	yes	0	0	0	0	0	0	0	0	0	1	1	fridge	4	>5	yes	no	no	no	yes	no	7	0	250	2	1	1	0	1	1	1	1	1	1	1	1	1	UH	3
5a3cb	April	61.8	24.38	140	3.68	15.25			household	Finland	post	received from a bakery	glass jar	loose lid	no	wheat	endosperm	no	yes	tap water	no	2	30	22	10	kitchen counter	75	3	4	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	1	0.5 to 2	yes	no	no	no	no	no	0	0	200	0	0	0	0	0	0	1	0	0	0	0	0	0	UH	3
5aaea	April	55.58	14.27	35	3.7	16.57	9.155	7.767	household	Sweden	post	started myself	glass jar	closed lid	yes	other	mix	yes	yes	tap water (descaled/filtered)	no	30	100	25	9	proofing chamber	75	4	3.75	no	yes	yes	yes	yes	no	no	0.9	0	0	0.333	0.1	0	0	0	0	0	1	keep at RT	8	<0.5	yes	no	no	yes	no	no	0	0	200	2	2	1	1	0	0	1	1	2	1	0	1	1	UH	3
5eadf	April	66.5	25.74	50	3.8	11.43			household	Finland	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	2	40	23	5	kitchen counter	10	6	4	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	1	2 to 5	yes	no	no	no	no	no	2	0	200	1	1	0	0	2	0	0	0	0	0	0	0	0	UH	3
622f9	April	60.21	24.66	22	3.7	13.64			household	Finland	pre	started myself	glass jar	closed lid	no	wheat	endosperm	yes	yes	tap water	no	2	120	23	5	kitchen counter	60	10	4	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	1	>5	yes	no	no	no	no	no	6	0	200	1	0	0	0	1	0	1	1	0	0	1	0	0	UH	2
64f48	February	55.68	12.52	15	3.75	9.76	8.068	8.083	household	Denmark	pre	received from a bakery	glass jar	closed lid	yes	wheat	endosperm	no	yes	tap water	no	8	30	22	6	kitchen counter	20	5	4.3	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	8	2 to 5	yes	no	no	no	yes	no	14	0	200	2	2	0	0	0	0	1	0	1	1	0	2	0	UH	3
68a54	May	60.17	24.8	30	3.83	13.17			household	Finland	covid	started myself	plastic container	closed lid	no	wheat	endosperm	no	yes	tap water	no	2	63	21	9	kitchen counter	30	4	5	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	8	2 to 5	yes	no	no	no	no	no	4	0	200	1	0	1	0	1	0	0	0	0	0	1	0	0	UH	3
698c3	April	60.19	24.94	10	4.7	9.12	8.199	7.16	household	Finland	post	started myself	glass jar	loose lid	yes	wheat	endosperm	no	yes	tap water	no	4	100	23	7	kitchen counter	200	8	4.5	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	0.5 to 2	yes	no	no	no	no	no	1	0	200	1	2	0	0	2	1	1	0	1	1	1	1	0	UH	2
6b1ae	November	60.17	25.04	18	3.7	13.37	9.468	7.942	household	Finland	covid	received from a home baker	plastic container	closed lid	no	wheat	endosperm	no	yes	tap water	no	2	0	22	18	kitchen counter	200	4	4.1	no	no	no	no	yes	yes	no	1	0	0	0.05	0	0	0	0.025	0	0.025	1	fridge	4	>5	no	no	no	no	no	no	2	0		0	1	0	0	1	0	1	0	1	1	0	1	1	UH	3
6b9ad	April	60.18	24.94	10	3.87	8.008	9.185	7.884	household	Finland	post	other	glass jar	loose lid	yes	wheat	endosperm	no	no	tap water	no	4	100	28	4	warm place	200	5	6	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	>5	yes	no	no	yes	no	no	0	0	200	2	0	0	0	0	0	0	0	0	0	0	0	0	UH	3
6d636	April	60.22	24.87	12	3.85	19.35	9.519	8.021	household	Finland	post	received from a home baker	glass jar	loose lid	no	rye	endosperm	no	yes	tap water	no	4	60	22	4	kitchen counter	180	5	5	no	no	no	no	no	yes	no	0	0	0	1	0	0	0	0	0	0	1	fridge	4	0.5 to 2	yes	no	no	no	no	no	0	0	200	2	0	0	0	0	0	0	0	1	0	0	1	0	UH	3
6f7fa	May	60.42	25.03	35	3.82	13.67			household	Finland	covid	received from a home baker	glass jar	loose lid	yes	wheat	endosperm	no	no	tap water	no	2	100	23	8	kitchen counter	20	5	4	yes	yes	yes	no	yes	no	no	1	0	0	0.1	0	0	0	0	0	0	2	fridge	4	0.5 to 2	yes	no	no	no	no	no	4	0	200	2	2	0	0	1	0	0	1	0	0	1	1	0	UH	4
70cae	May	55.69	12.54	10	3.88	20.97			household	Denmark	covid	started myself	glass jar	loose lid	yes	other	mix	yes	no	tap water	no	4	100	5	48	fridge				no	no	no	no	no	no	no	0.5	0	0	0	0.5	0	0	0	0	0	1	keep at RT	4	2 to 5	yes	no	yes	yes	yes	no	4	0	200														UH	5
718b2	January	60.22	24.67	30	3.57	13.34	8.98	7.135	household	Finland	pre	received from a home baker	glass jar	closed lid	yes	rye	endosperm	no	no	tap water	no		175	21	12	kitchen counter	50	6	3.8	no	no	no	no	no	yes	no	0	0	0	1	0	0	0	0	0	0	2	fridge	1	>5	no	no	no	no	no	no	20	0	250	1	0	0	0	0	0	0	0	0	0	0	0	0	UH	1
742a5	May	61.48	23.8	110	3.74	17.69			household	Finland	covid	other	glass jar	closed lid	no	wheat	endosperm	no	yes	tap water	yes	4	120	24	4	warm place	40	5	4	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	4	0	200	2	0	0	0	1	0	2	0	0	0	0	1	1	UH	2
784d2	February	60.38	23.13	15	3.71	17.33	9.137	7.055	household	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	no	yes	tap water	no	8	110	23	18	kitchen counter	60	23	4.1	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	4	2 to 5	yes	no	no	no	no	no	4	0	200	0	0	0	0	0	0	1	0	0	1	0	0	0	UH	3
7c94e	May	62.24	25.75	95	3.72	15.066	9.359	7.381	household	Finland	pre	started myself	glass jar	loose lid	yes	wheat	endosperm	no	yes	tap water	no	4	40	22	2	kitchen counter	20	4	4	no	yes	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	1	2 to 5	yes	no	no	yes	yes	no	5	0	200	1	1	0	0	0	0	1	0	0	0	0	1	0	UH	3
80dc7	May	56.5	13.17	20					household	Sweden	post	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no		150	21	12	other	60	4		no	no	no	no	yes	no	yes	1	0	0	0	0	0	0	0	0	0	2	fridge	4	0.5 to 2	yes	no	no	no	no	no	1	0	200														UH	3
83f7a	May	60.28	24.83	40	3.8	19.97			household	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no	2	30	22	8	kitchen counter	60	5		no	no	no	no	no	no	yes	1	0	0	0	0	0	0	0	0	0	4	fridge	1	2 to 5	yes	no	no	no	no	no	3	0	200														UH	1
8634a	February	55.71	12.54	10	3.74	16.59	8.851	7.59	household	Denmark	post	started myself	glass jar	loose lid	yes	spelt	wholemeal	yes	yes	tap water	no	4	100	22	7	kitchen counter	100	4	4.4	no	no	no	no	yes	no	no	0	0	0	0	0	1	1	0	0	0	1	fridge	4	0.5 to 2	yes	no	yes	no	yes	no	1	0	200	2	1	2	1	1	1	1	2	1	1	1	1	0	UH	4
8a125	May	60.21	24.66	22	3.75	13.19	9.047	7.531	household	Finland	post	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	2	25	22	5	kitchen counter	50	4	4	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	2	<0.5	yes	no	no	no	no	no	0	0	200	1	0	0	0	0	0	0	0	0	0	1	0	1	UH	3
92e0a	May	60.45	22.28	25	3.65	21.06			household	Finland	pre	started myself	glass jar	loose lid	no	rye	endosperm	no	no	tap water	no	4	30	4		fridge	90	4		no	no	no	no	no	yes	yes	0	0	0	1	0	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	no	no	9	0	233.3333333														UH	3
9435e	February	61.5	23.75	100	3.84	12.33	9.477	7.122	household	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	yes	yes	tap water	no	2	125	22	3	kitchen counter	40	5	4.1	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	4	2 to 5	yes	no	no	no	no	no	3	0	200	0	1	0	0	0	0	0	0	0	0	0	2	0	UH	3
9683c	March	55.68	12.55	10	3.87	14.51			household	Denmark	covid	started myself	glass jar	loose lid	yes	wheat	wholemeal	yes	no	tap water (descaled/filtered)	no	8	120	19	7	kitchen counter	440	5	4.4	no	no	no	no	yes	no	no	0.5	0	0.5	0	0	0	0	0	0	0	1	fridge	8	2 to 5	yes	no	no	no	no	no	2	0	250	0	1	0	0	0	0	1	0	1	0	0	1	0	UH	2
9d3f2	December	60.45	22.27	8	3.31	17.84	10.748	9.761	household	Finland	post	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no	1	200	25	20	warm place	15	8	4.1	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	1	0.5 to 2	yes	no	no	no	no	no	1	0	200	1	1	1	0	0	0	0	0	0	0	0	1	1	UH	1
9e56c	April	60.12	24.43	25	3.97	9.516	9.278	7.274	household	Finland	pre	started myself	glass jar	closed lid	no	wheat	endosperm	no	yes	tap water	no	4	35	20	3	kitchen counter	40	4	4	no	no	no	yes	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	3	>5	yes	no	no	no	no	no	5	0	200	1	1	1	0	0	0	0	0	0	0	0	1	0	UH	5
9ed65	May	60.42	24.05	80	3.78	13.67			household	Finland	pre	started myself	glass jar	loose lid	no	wheat	endosperm	no	yes	tap water	no	2	100	25	5	kitchen counter	80	5	4.1	yes	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	1	2 to 5	yes	no	no	yes	no	no	4	0	200	3	1	2	2	2	0	1	1	2	0	0	2	0	UH	3
a4784	May	60.83	23.13	10	3.97	8.99	8.149	7.511	household	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no	1	90	21	11	kitchen counter	300	5	4.5	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	1	2 to 5	no	no	yes	no	no	no	4	0	166.6666667	1	1	0	0	1	0	0	0	1	0	0	0	0	UH	4
a76f6	April	60.21	24.66	22	3.84	17.5	9.618	7.299	household	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no	2	94	21	6	kitchen counter	26	5	6	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	3	0	200	1	1	0	0	0	0	0	0	0	0	0	0	0	UH	4
a9d27	April	64.5	27.18	40	3.67	9.85	9.331	7.234	household	Finland	covid	started myself	glass jar	loose lid	no	wheat	endosperm	no	no	tap water	no	12	80	20	14	kitchen counter	500	20	4.5	no	yes	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	4	2 to 5	yes	no	no	no	no	no	4	0	225	0	0	0	0	0	0	1	1	0	0	0	1	0	UH	2
aacf9	April	61.24	22.09	50	3.84	16.99			household	Finland	pre	started myself	other	plastic wrap	no	wheat	endosperm	no	yes	tap water	no	30	150	20	9	kitchen counter	100	20	4	yes	yes	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	1	2 to 5	yes	yes	no	no	yes	no	5	0	200	1	1	1	0	0	0	0	1	0	0	0	1	0	UH	3
ab8bf	April	60.21	24.66	22	3.8	10.429	9.179	7.591	household	Finland	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	2	92	20	5	kitchen counter	70	6	5	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	no	no	no	no	no	no	4	0	200	3	1	0	0	1	0	0	1	0	0	0	0	1	UH	3
b017e	May	55.84	13.3	20	3.72	20.77			household	Sweden	pre	started myself	glass jar	closed lid	yes	rye	endosperm	yes	yes	tap water	no	30	100	20	7	kitchen counter	20	7	5	yes	no	no	no	yes	yes	no	0	0	0	1	1	0	0	0	0	0	1	fridge	8	>5	yes	yes	no	no	yes	no	7	0	230	2	1	0	0	0	0	0	0	1	0	0	1	0	UH	1
b37c7	February	55.68	12.57	10	3.8	16.92	7.597	7.316	household	Denmark	pre	received from a home baker	plastic container	loose lid	yes	other	mix	yes	no	tap water	no	8	80	21	7	kitchen counter	50	5	3.8	no	no	no	no	yes	no	no	0.5	0	0	0	0.5	0	0	0	0	0	1	fridge	1	2 to 5	yes	yes	yes	no	yes	yes	5	0	200	1	1	0	0	0	0	1	1	1	0	0	1	0	UH	1
b3a11	November	60.22	24.96	10	3.81	17.03	9.34	7.407	household	Finland	pre	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	4	166	22	9	kitchen counter	341	22	4.4	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	4	keep at RT	4	>5	no	no	no	no	no	no	8	0	197.5903614														UH	1
b4833	October	60.19	24.76	20	3.78	14.15	9.328	7.806	household	Finland	post	started myself	glass jar	loose lid	yes	rye	endosperm	yes	yes	tap water	no	8	30	22	10	kitchen counter	100	6	3.8	no	no	no	no	yes	yes	no	0	0	0	1	0	0	1	0	0	0	1	fridge	8	2 to 5	yes	yes	yes	no	yes	no	0	0	166.6666667	2	1	0	0	0	0	0	0	1	0	0	1	0	UH	3
b7837	April	60.18	24.96	10	3.7	12.17			household	Finland	pre	received from a home baker	glass jar	loose lid	no	wheat	endosperm	no	no	tap water	no	1	150	22	11	kitchen counter	95	4	4.5	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	4	>5	yes	no	no	yes	yes	yes	13	0	200	0	0	0	1	0	0	0	0	1	0	0	0	0	UH	1
b8617	March	61.5	23.75	100	3.8	12.35	9.192	7.434	household	Finland	post	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no	8	150	25	5	kitchen counter	80	4	4	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	4	<0.5	yes	no	no	no	no	no	0	0	200	0	1	0	0	1	0	0	0	0	0	0	1	0	UH	2
bd67d	January	62.24	25.75	95	3.62	12.74	9.268	7.17	household	Finland	covid	received from a home baker	glass jar	loose lid	no	wheat	endosperm	no	no	tap water	no	2	50	21	7	kitchen counter	40	5	4.4	yes	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	1	2 to 5	yes	no	no	no	yes	no	3	0	200	1	0	0	0	1	1	1	0	1	0	0	1	0	UH	3
beb1a	October	60.22	24.96	10	3.94	7.96	7.927	7.138	household	Finland	post	received from a home baker	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	4	35	22	3	kitchen counter	105	22	3.8	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	4	2 to 5	yes	no	no	no	no	no	0	0	200	1	0	0	0	0	0	1	0	0	0	0	1	0	UH	2
c05b1	May	63.11	21.64	20	3.77	13.94			household	Finland	post	started myself	glass jar	loose lid	yes	wheat	endosperm	no	yes	bottled water	no	4	65	24	4	other	30	4	5	no	no	no	no	yes	no	no	1	0	0	0.1	0	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	no	no	1	0	200	0	0	1	0	0	0	1	0	0	0	1	1	0	UH	2
c5bf5	May	60.18	24.76	20	3.71	15.47			household	Finland	post	started myself	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	12	25	21	10	kitchen counter	50	4	5	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	8	0.5 to 2	yes	no	yes	no	no	no	1	0	200	2	2	0	0	0	0	1	0	0	0	0	1	0	UH	3
c96f9	May	60.18	24.94	10	3.85	17.68			household	Finland	covid	received from a home baker	glass jar	closed lid	no	rye	wholemeal	no	no	tap water	no	1	47	26	5	other	50	6	4	no	no	no	no	yes	no	no	1	0	0	0	1	0	0	0	0	0	2	keep at RT	1	2 to 5	yes	no	no	no	no	no	3	0	200	1	1	0	0	0	0	0	0	0	0	0	0	0	UH	5
ca909	May	61.5	23.75	100	3.87	22.6			household	Finland	pre	started myself	glass jar	closed lid	no	wheat	endosperm	yes	yes	tap water	no	2	120	22	4	kitchen counter	250	22	5	yes	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	5	fridge	4	>5	yes	no	no	no	no	no	6	0	175	0	0	1	0	0	0	0	0	0	0	1	0	1	UH	2
d2266	November	61.68	27.27	100	3.88	13.39	9.345	7.475	artisanal bakery	Finland	pre	started myself	plastic container	closed lid	no	wheat	endosperm	no	no	tap water	no	30	3000	18	3	warm place	3000	18	4.4	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	keep at RT	30	2 to 5	yes	no	no	no	no	no	4	0	200	2	1	1	0	1	0	1	0	1	0	0	1	0	UH	3
dcccb	April	56.16	13.77	35	3.7	24.73			household	Sweden	pre	received from a home baker	glass jar	closed lid	no	other	mix	yes	yes	tap water	no	4	70	21	8	kitchen counter	100	4	5	no	no	no	no	yes	no	no	0	0	0	0.32	1	0	0.5405	0	0	0	1	fridge	4	>5	yes	no	no	yes	yes	no	20	0	242.8571429	2	1	0	0	0	0	1	0	0	0	0	1	0	UH	1
dfc2b	December	61.98	26.63	85	3.33	15.72	9.321	7.845	artisanal bakery	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	no	yes	tap water	no	12	70	24	7	warm place	130	23	4.1	yes	yes	no	no	no	no	no	1	0	0.05	0.05	0	0	0	0	0	0	4	fridge	8	2 to 5	yes	no	no	no	no	no	2	0	200	1	0	1	0	0	1	1	0	0	1	0	1	0	UH	2
e03f6	May	60.21	25.05	18					household	Finland	covid	started myself	glass jar	closed lid	no	wheat	endosperm	yes	no	tap water	no	4	90	26	8	kitchen counter	30	4	3	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	4	0	200	2	0	1	0	1	0	1	1	0	0	0	1	0	UH	3
e6564	May	60.19	24.96	10	3.7	13.04	8.182	7.19	household	Finland	post	received from a bakery	plastic container	plastic wrap	yes	wheat	endosperm	no	yes	tap water	no	30	100	6	24	proofing chamber	120	6	4	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	4	2 to 5	no	no	no	no	no	no	0	0	180	1	1	1	0	0	0	0	0	0	0	0	1	0	UH	2
e894a	April	60.45	22.27	8	3.7	22.21	9.079	5.352	household	Finland	post	received from a home baker	glass jar	closed lid	no	wheat	wholemeal	yes	yes	tap water	no	2	80	24	13	kitchen counter	50	11	6	no	no	no	no	yes	no	no	0	0	1	0	0	0	0	0	0	0	1	fridge	1	2 to 5	yes	no	no	no	no	no	2	0	200	2	1	0	0	0	0	0	0	0	0	0	0	0	UH	3
