	sample_received_month	latitude	longitude	elevation	pH_laboratory	tta_laboratory	cfu_lab	cfu_yeasts	r_samp_source	r_samp_country	covid	r_dough_source	r_dough_stor_device	r_dough_cover	r_yeast_usage_prior	r_flour_type_red_red	r_flour_quality	r_flour_organic	r_flour_change	r_water_type	r_flour_additions	r_backslop_freq	r_refreshment_flour	r_temp_feeding	r_time_feeding	r_stor_feeding	r_dough_size_feeding	r_temp_storage	r_ph_value_citizen	cat	dog	other_with_hair	other_without_hair	r_plants	r_kids	r_flour_comp_not_determ	r_wheat	r_semi_wholemeal_wheat	r_wholemeal_wheat	r_rye	r_wholemeal_rye	r_wholemeal_spelt	r_spelt	r_barley	r_other_wheat_varieties	r_gluten_free_flour	p_number_sourdoughs	p_after_feeding	p_bread_making_frequency	p_skill	p_perceived_health_benefits	p_alcoholic_beverage	p_acid_beverage	p_dairy_products	p_fermented_vegetables_fruits	p_other_fermentations	dough_age	sample_transport_dur	dough_yield	s_grain_cereal_score	s_fermented_score	s_veggie_score	s_animal_score	s_chemical_score	s_body_odour_score	s_fruity_score	s_toasted_score	s_sour_score	s_ocean_score	s_earthy_score	s_fermented_dairy_score	s_nutty_score	hub	cluster
de705	November	47.39	8.25	474	4.15	13.15	10.81023252	9.254280394	household	Switzerland	post	started myself	glass jar	loose lid	yes	rye	wholemeal	yes	no	tap water	no	1	50	22	11	kitchen counter	100	5	5.1	yes	yes	no	no	no	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	1	2 to 5	yes	no	no	no	no	no	0	4	200	1	1	1	0	0	1	1	0	1	0	1	0	0	ETHZ	3
6dfdd	December	47.1	8.51	412	3.78	15.17	10.85247999	9.197658064	household	Switzerland	post	started myself	glass jar	loose lid	yes	other	mix	yes	yes	tap water	no	2	20	22	8	warm place	50	4	4.4	no	no	no	no	no	no	no	0.5	0.25	0	0.5	0.75	0	0	0	0	0	1	fridge	3	0.5 to 2	yes	no	no	no	yes	no	1	1	200	0	0	2	0	0	0	0	0	0	0	1	1	0	ETHZ	5
2f49c	December	47.41	8.53	455	3.57	19.32	10.45024911	7.682468544	household	Switzerland	covid	started myself	glass jar	loose lid	yes	wheat	wholemeal	no	no	tap water	no	4	50	23	8	kitchen counter	125	5	5.1	no	no	no	no	yes	no	no	0.5	0	0.5	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	yes	no	no	no	3	9	200	1	1	1	0	0	0	0	0	0	0	0	0	0	ETHZ	4
3356f	February	47.4	8.05	361	3.75	19.5	9.8022326	8.02885412	household	Switzerland	covid	started myself	glass jar	loose lid	yes	wheat	wholemeal	no	no	tap water	no	2	100	22	4	kitchen counter	100	5	4.4	no	no	no	no	yes	no	no	0	0	1	0	0	0	0	0	0	0	1	fridge	3	2 to 5	yes	no	no	no	no	no	4	6	200	1	1	0	0	0	0	1	0	0	0	0	1	0	ETHZ	4
43e6f	November	47.53	7.57	294	3.74	8.52	8.937448288	8.1407398	household	Switzerland	pre	received from a home baker	glass jar	loose lid	yes	wheat	endosperm	no	no	tap water (descaled/filtered)	no	4	100	24	1	kitchen counter	100	6		no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	0.5 to 2	yes	no	no	no	no	no	4	14	155	1	0	0	0	0	0	1	0	1	0	0	1	0	ETHZ	4
2c0fa	December	47.38	8.51	410	3.76	20.32	10.69635639	9.429653962	bakery	Switzerland	pre	other	plastic container	plastic wrap	no	wheat	wholemeal	yes	yes	tap water	no	30	350	20	4	proofing chamber	1500	18	3.85	no	no	no	no	no	no	no	0	0.7	0	0	0	0	0	0	0.3	0	1	fridge	30	>5	yes	no	yes	no	yes	no	20	2	200	2	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	1
74ff0	January	47.41	8.19	383	3.85	9.24	8.94208039	7.66853112	household	Switzerland	pre	started myself	glass jar	loose lid	yes	wheat	endosperm	yes	yes	tap water	no	30	100	21	13	kitchen counter	250	21	5.1	yes	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge		>5		no	no	no	no	no	17	1	150	0	2	0	0	1	0	0	0	0	0	0	0	0	ETHZ	2
1558e	December	47.26	8.59	464	3.71	14.99	9.830180243	7.824743185	household	Switzerland	pre	started myself	glass jar	loose lid	yes	wheat	wholemeal	yes	yes	tap water	no	4	70	22	4	kitchen counter	80	5	5.1	no	no	no	no	yes	yes	no	0	1	0	0	0	0	0	0	0	0	1	fridge	4	>5	yes	no	no	no	no	no	6	3	150	2	1	0	0	0	0	1	0	1	0	0	0	0	ETHZ	3
a44a1	December	46.63	7.7	817	3.59	11.63	10.69372695	9.614886257	household	Switzerland	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	no	yes	tap water	no	2	475	24	1	kitchen counter	300	6	4.6	yes	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	no	no	no	no	no	no	3	4	164.8421053	0	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	4
1172b	November	47.39	8.51	404	3.68	11.64	9.824382925	8	household	Switzerland	post	other	plastic container	closed lid	yes	spelt	endosperm	yes	yes	tap water	no	2	50	21	10	kitchen counter	60	5	5.1	no	no	no	no	yes	no	no	0	0	0	0	0	0	1	0	0	0	1	fridge	3	<0.5	yes	no	no	no	no	no	0	4	200	2	1	1	1	0	0	0	0	0	0	1	2	0	ETHZ	3
c951d	January	47.18	8.51	420	3.68	10.25	10.5865873	8.88649073	household	Switzerland	post	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	4	100	22	3	kitchen counter	200	5	4.6	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	8	0.5 to 2	yes	no	no	no	no	no	1	18	160	1	1	0	0	0	0	0	0	0	0	0	0	0	ETHZ	4
0fb21	December	46.93	7.44	556	3.58	15.1	11.38021124	8.077333341	household	Switzerland	covid	received from a home baker	glass jar	closed lid	yes	rye	endosperm	yes	yes	tap water	no	4	20	20	24	kitchen counter	4	7	4.1	yes	no	no	no	no	no	no	0.333333333	0	0.333333333	1	0	0	0	0	0	0	2	keep at RT	8	2 to 5	yes	no	no	no	no	no	3	4	250	0	0	1	0	0	0	0	0	0	0	0	0	0	ETHZ	4
5cade	December	46.93	7.44	556	3.45	14.66	10.66575343	8.077333341	household	Switzerland	covid	received from a home baker	glass jar	closed lid	yes	other	mix	yes	yes	tap water	no	4	20	20	24	kitchen counter	4	7	3.8	yes	no	no	no	no	no	no	0.34	0.33	0.333333333	0.333333333	0	0	0.33	0	0	0	2	keep at RT	8	2 to 5	yes	no	no	no	no	no	3	11	250	0	1	0	0	2	0	1	0	0	0	0	0	0	ETHZ	4
ad58c	December	47.41	8.56	427	3.71	18.16	11.12254352	6.888182544	household	Switzerland	pre	started myself	glass jar	other	yes	other	mix	yes	no	tap water	no	2	75	20	7	kitchen counter	50	4	4.1	no	no	no	no	yes	no	no	0.5	0.25	0	0	0.25	0	0	0	0	0	1	fridge	3	2 to 5	yes	no	no	no	no	no	4	12	200	0	2	0	0	0	0	1	0	1	0	1	0	0	ETHZ	3
0180e	February	47.4	8.55	483	3.64	13.66	8.30274651	7.52252364	household	Switzerland	post	received from a home baker	plastic container	closed lid	yes	wheat	endosperm	yes	no	tap water	no	2	550	19	18	kitchen counter	200	4	4.3	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	0	6	181.8181818	2	2	1	0	1	0	0	1	0	0	1	1	0	ETHZ	2
729cd	December	46.91	9.15	1105	3.61	17.15	9.992801192	8.006051235	household	Switzerland	covid	received from a home baker	glass jar	loose lid	no	spelt	endosperm	yes	no	tap water	no	4	50	4	48	fridge	80	4	3.8	no	no	no	no	yes	yes	no	0	0	0	0	0	0	1	0	0	0	2	keep at RT	1	0.5 to 2	yes	no	yes	yes	yes	no	3	3	200	0	1	0	0	0	0	0	0	0	0	1	0	0	ETHZ	4
292df	December	46.91	9.15	1105	3.87	16.12	8.676824367	7.990449678	household	Switzerland	post	received from a home baker	glass jar	loose lid	no	spelt	endosperm	yes	no	tap water	no	2	160	30	4	other	100	4	3.8	no	no	no	no	yes	yes	no	0	0	0	0	0	0	1	0	0	0	2	keep at RT	1	0.5 to 2	yes	no	yes	yes	yes	no	0	3	150	0	0	0	0	1	0	0	0	0	0	1	0	0	ETHZ	2
ff95e	December	47.39	8.53	420	3.7	18.45	10.5171959	8.620408528	household	Switzerland	pre	started myself	glass jar	closed lid	no	rye	endosperm	no	no	tap water	no	1	50	22	20	kitchen counter	110	5	4.4	no	no	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0	2	fridge	4	>5	no	no	no	no	no	no	5	4	200	0	1	0	0	0	0	0	0	1	0	0	0	0	ETHZ	5
41c59	December	47.39	8.53	420	3.6	11.58	10.98227123	9.082938746	household	Switzerland	pre	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no	1	50	22	20	kitchen counter	110	22	4.6	no	no	no	no	no	no	no	1	0	0	1	0	0	0	0	0	0	2	fridge	4	>5	no	no	no	no	no	no	5	4	200	0	1	0	0	0	0	0	0	1	0	0	1	0	ETHZ	3
5dd53	January	46.2	9.03	231	3.65	13.18	8.871406137	8.335322872	household	Switzerland	pre	received from a home baker	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water	no	4	50	22	4	warm place	50	6	4.8	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	8		yes	no	yes	no	yes	no	5	13	200	0	1	0	0	0	0	0	1	0	0	0	1	0	ETHZ	1
1e8b6	December	47.38	8.56	553	4.24	5.34	9.02211816	8.12693642	household	Switzerland	covid	started myself	glass jar	loose lid	yes	wheat	endosperm	no	yes	tap water	yes	4	100	20	3	kitchen counter	100	4	5.1	no	yes	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	3	0	200	2	1	1	0	1	0	0	0	1	0	0	0	0	ETHZ	4
fae03	April	46.01	8.95	357	3.71	11.1	9.237479792	7.590913622	household	Switzerland	pre	received from a home baker	glass jar	loose lid	yes	wheat	endosperm	no	no	tap water	no	30	130	27	1	proofing chamber	325	5		no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	4	2 to 5	yes	no	no	yes	no	no	5	1	150														ETHZ	3
ec960	April	46.01	8.95	357	3.81	14.15	9.197957549	7.289544036	household	Switzerland	pre	received from a home baker	glass jar	loose lid	yes	wheat	endosperm	no	no	tap water	no	30	130	27	1	proofing chamber	325	5		no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	4	2 to 5	yes	no	no	yes	no	no	5	1	150														ETHZ	3
